domain,available,price,renewal_price
paha.com,True,97888.00,15.88
saoa.com,True,150000.00,15.88
faoa.com,True,5888.00,15.88
vaua.com,True,19999.00,15.88
iava.com,True,32000.00,15.88
xaca.com,True,165075.00,15.88
fapa.com,True,106960.00,15.88
iawa.com,True,19999.00,15.88
vawa.com,True,15000.00,15.88
faqa.com,True,15000.00,15.88
iaza.com,True,12000.00,15.88
fara.com,True,272550.00,15.88
xaea.com,True,7950.00,15.88
maha.com,True,750000.00,15.88
faua.com,True,19999.00,15.88
xaja.com,True,95000.00,15.88
gaxa.com,True,77122.00,15.88
maoa.com,True,20800.00,15.88
xama.com,True,75000.00,15.88
jaua.com,True,19999.00,15.88
eaaa.com,True,13191.00,15.88
yaoa.com,True,19999.00,15.88
caua.com,True,50000.00,15.88
yapa.com,True,236160.00,15.88
eada.com,True,500000.00,15.88
eaea.com,True,35000.00,15.88
kaua.com,True,14500.00,15.88
eaha.com,True,7400.00,15.88
yaua.com,True,19999.00,15.88
uapa.com,True,37000.00,15.88
eaja.com,True,7595.00,15.88
yawa.com,True,175000.00,15.88
oaea.com,True,19999.00,15.88
oafa.com,True,8495.00,15.88
uasa.com,True,22499.00,15.88
yaza.com,True,49000.00,15.88
laca.com,True,175000.00,15.88
eana.com,True,12995.00,15.88
aaga.com,True,19437.00,15.88
uava.com,True,12630.00,15.88
zata.com,True,66086.00,15.88
iaue.com,True,19999.00,15.88
maae.com,True,135000.00,15.88
fane.com,True,65335.00,15.88
vaue.com,True,19999.00,15.88
saoe.com,True,6000.00,15.88
paie.com,True,1875000.00,15.88
faoe.com,True,19999.00,15.88
xaae.com,True,1499.00,15.88
fape.com,True,145000.00,15.88
maee.com,True,32000.00,15.88
faqe.com,True,19000.00,15.88
pale.com,True,850000.00,15.88
iaze.com,True,19999.00,15.88
jaxe.com,True,29000.00,15.88
fase.com,True,151245.00,15.88
bame.com,True,71499.00,15.88
jace.com,True,750000.00,15.88
wace.com,True,149999.00,15.88
saue.com,True,2000.00,15.88
paoe.com,True,16000.00,15.88
jaae.com,True,19999.00,15.88
faue.com,True,19999.00,15.88
xahe.com,True,30000.00,15.88
wabe.com,True,472085.00,15.88
sawe.com,True,99950.00,15.88
xaie.com,True,19999.00,15.88
xake.com,True,89270.00,15.88
wafe.com,True,22000.00,15.88
bawe.com,True,35000.00,15.88
uaie.com,True,1995.00,15.88
nawe.com,True,12000.00,15.88
eaae.com,True,19999.00,15.88
haie.com,True,15000.00,15.88
uaje.com,True,19999.00,15.88
eabe.com,True,19999.00,15.88
kaqe.com,True,5999.00,15.88
uake.com,True,11000.00,15.88
oaxe.com,True,19999.00,15.88
eaee.com,True,19999.00,15.88
kase.com,True,116560.00,15.88
caze.com,True,235000.00,15.88
yase.com,True,130000.00,15.88
uame.com,True,19999.00,15.88
oaae.com,True,33888.00,15.88
uane.com,True,6788.00,15.88
kaue.com,True,10000.00,15.88
eahe.com,True,9950.00,15.88
uaoe.com,True,8256.00,15.88
haoe.com,True,211268.00,15.88
kawe.com,True,91000.00,15.88
oaee.com,True,23888.00,15.88
eaje.com,True,7950.00,15.88
aaee.com,True,48000.00,15.88
yaze.com,True,63223.00,15.88
oage.com,True,22499.00,15.88
uase.com,True,19999.00,15.88
laxe.com,True,150000.00,15.88
aafe.com,True,65999.00,15.88
eame.com,True,125000.00,15.88
hate.com,True,344138.00,15.88
uaue.com,True,40412.00,15.88
haue.com,True,19999.00,15.88
aaie.com,True,25000.00,15.88
xaxi.com,True,21888.00,15.88
xaci.com,True,24950.00,15.88
iawi.com,True,19999.00,15.88
fapi.com,True,25099.00,15.88
baii.com,True,105000.00,15.88
xaai.com,True,49895.00,15.88
pami.com,True,88888.00,15.88
xaei.com,True,19999.00,15.88
waxi.com,True,109331.00,15.88
xafi.com,True,29500.00,15.88
maii.com,True,25000.00,15.88
faui.com,True,125000.00,15.88
maji.com,True,76487.00,15.88
xahi.com,True,9432.00,15.88
xaii.com,True,7950.00,15.88
sayi.com,True,39000.00,15.88
wadi.com,True,649888.00,15.88
jafi.com,True,28169.00,15.88
bari.com,True,437000.00,15.88
mani.com,True,500000.00,15.88
maoi.com,True,23499.00,15.88
gaei.com,True,5631.00,15.88
qahi.com,True,94366.00,15.88
caui.com,True,7350.00,15.88
rabi.com,True,175000.00,15.88
nayi.com,True,27000.00,15.88
eabi.com,True,8911.00,15.88
uaki.com,True,3423.00,15.88
yari.com,True,125000.00,15.88
oaci.com,True,19999.00,15.88
eafi.com,True,65000.00,15.88
oaai.com,True,9999.00,15.88
yati.com,True,350000.00,15.88
uaoi.com,True,19999.00,15.88
yaui.com,True,19999.00,15.88
uapi.com,True,24499.00,15.88
oaei.com,True,5003.00,15.88
aabi.com,True,200000.00,15.88
aaei.com,True,19999.00,15.88
uati.com,True,10799.00,15.88
laci.com,True,225000.00,15.88
oaii.com,True,4999.00,15.88
uaui.com,True,1995.00,15.88
laai.com,True,35000.00,15.88
oaji.com,True,19999.00,15.88
oari.com,True,75888.00,15.88
paho.com,True,78000.00,15.88
xaxo.com,True,93911.00,15.88
iauo.com,True,1995.00,15.88
xaco.com,True,12500.00,15.88
saoo.com,True,5898.00,15.88
pajo.com,True,17000.00,15.88
fapo.com,True,165000.00,15.88
mado.com,True,97545.00,15.88
xabo.com,True,9500.00,15.88
iayo.com,True,19999.00,15.88
vawo.com,True,19999.00,15.88
saqo.com,True,22000.00,15.88
palo.com,True,500000.00,15.88
iazo.com,True,32965.00,15.88
waco.com,True,275000.00,15.88
xaio.com,True,19999.00,15.88
baqo.com,True,27550.00,15.88
jaeo.com,True,19999.00,15.88
pato.com,True,500000.00,15.88
wafo.com,True,45000.00,15.88
gaao.com,True,12500.00,15.88
qabo.com,True,8500.00,15.88
xazo.com,True,19000.00,15.88
cauo.com,True,19999.00,15.88
uako.com,True,19999.00,15.88
yaqo.com,True,31350.00,15.88
oaxo.com,True,23180.15,15.88
eaeo.com,True,15000.00,15.88
ualo.com,True,47850.00,15.88
oaco.com,True,10000.00,15.88
aaxo.com,True,24000.00,15.88
uano.com,True,11700.00,15.88
raio.com,True,195000.00,15.88
oabo.com,True,19999.00,15.88
eaho.com,True,11999.00,15.88
yauo.com,True,19999.00,15.88
uaoo.com,True,19999.00,15.88
eaio.com,True,18380.00,15.88
haqo.com,True,9995.00,15.88
oaeo.com,True,33888.00,15.88
uaqo.com,True,14199.00,15.88
ralo.com,True,65000.00,15.88
eako.com,True,9999.00,15.88
oago.com,True,26225.00,15.88
ealo.com,True,21999.00,15.88
uaso.com,True,19999.00,15.88
oaho.com,True,19999.00,15.88
uato.com,True,53888.00,15.88
hauo.com,True,19999.00,15.88
oajo.com,True,37995.00,15.88
eaqo.com,True,7150.00,15.88
xaxu.com,True,35000.00,15.88
vauu.com,True,19999.00,15.88
saou.com,True,22666.00,15.88
faou.com,True,9000.00,15.88
bahu.com,True,21392.00,15.88
xacu.com,True,30000.00,15.88
mabu.com,True,50000.00,15.88
xaau.com,True,9850.00,15.88
iayu.com,True,24999.00,15.88
baju.com,True,75000.00,15.88
saqu.com,True,15000.00,15.88
maeu.com,True,7278.00,15.88
iazu.com,True,7650.00,15.88
saru.com,True,225000.00,15.88
sasu.com,True,38000.00,15.88
xaeu.com,True,1499.00,15.88
bamu.com,True,20000.00,15.88
wacu.com,True,25000.00,15.88
sauu.com,True,12500.00,15.88
xagu.com,True,5500.00,15.88
favu.com,True,19000.00,15.88
baou.com,True,9507.00,15.88
papu.com,True,35000.00,15.88
jabu.com,True,25604.00,15.88
xahu.com,True,19999.00,15.88
wabu.com,True,49000.00,15.88
sawu.com,True,28000.00,15.88
malu.com,True,1180803.00,15.88
xaju.com,True,19999.00,15.88
waeu.com,True,9500.00,15.88
xaku.com,True,99995.00,15.88
basu.com,True,669995.00,15.88
caxu.com,True,30000.00,15.88
eaau.com,True,35000.00,15.88
uaiu.com,True,1995.00,15.88
halu.com,True,23312.00,15.88
eaeu.com,True,5000.00,15.88
kasu.com,True,234979.00,15.88
hamu.com,True,18000.00,15.88
eafu.com,True,989.00,15.88
uamu.com,True,8000.00,15.88
oacu.com,True,19995.00,15.88
rahu.com,True,19500.00,15.88
aaxu.com,True,19999.00,15.88
oaau.com,True,9995.00,15.88
yauu.com,True,19999.00,15.88
eahu.com,True,3399.00,15.88
uaou.com,True,1995.00,15.88
kawu.com,True,72887.00,15.88
eaiu.com,True,1995.00,15.88
raju.com,True,65000.00,15.88
eaju.com,True,24999.00,15.88
uaqu.com,True,24999.00,15.88
aabu.com,True,7788.00,15.88
oaeu.com,True,19999.00,15.88
eaku.com,True,19999.00,15.88
oafu.com,True,5000.00,15.88
yazu.com,True,36000.00,15.88
hasu.com,True,48904.00,15.88
laxu.com,True,10000.00,15.88
oagu.com,True,2125.00,15.88
zaxu.com,True,70423.00,15.88
lacu.com,True,99999.00,15.88
aafu.com,True,7898.00,15.88
aagu.com,True,10000.00,15.88
uavu.com,True,6499.00,15.88
zaku.com,True,225000.00,15.88
maay.com,True,8349.00,15.88
xaxy.com,True,17599.00,15.88
pahy.com,True,9000.00,15.88
iauy.com,True,5288.00,15.88
faoy.com,True,55000.00,15.88
