domain,available,price,renewal_price
qqu.com,True,300000.00,15.88
qqv.com,True,90000.00,15.88
qqs.com,True,380000.00,15.88
qqg.com,True,1800000.00,15.88
qqt.com,True,220000.00,15.88
quz.com,True,95000.00,15.88
que.com,True,25888100.00,15.88
quj.com,True,60000.00,15.88
qum.com,True,998000.00,15.88
qvq.com,True,300000.00,15.88
qvy.com,True,60000.00,15.88
qva.com,True,200000.00,15.88
qdv.com,True,325000.00,15.88
qde.com,True,27999.00,15.88
qdp.com,True,75000.00,15.88
qdt.com,True,125000.00,15.88
qdw.com,True,240933.00,15.88
qnq.com,True,159947.00,15.88
qne.com,True,92000.00,15.88
qni.com,True,20000.00,15.88
qnm.com,True,100000.00,15.88
qno.com,True,39999.00,15.88
qxu.com,True,250000.00,15.88
qxn.com,True,110000.00,15.88
qxf.com,True,180000.00,15.88
qxj.com,True,110000.00,15.88
qxt.com,True,98592.00,15.88
qbb.com,True,413391.00,15.88
qbg.com,True,1200000.00,15.88
qbi.com,True,350000.00,15.88
qbk.com,True,176056.00,15.88
qhq.com,True,275000.00,15.88
qhu.com,True,155000.00,15.88
qhy.com,True,5000000.00,15.88
qzv.com,True,75000.00,15.88
qzh.com,True,159723.00,15.88
qzy.com,True,180000.00,15.88
qza.com,True,196199.00,15.88
qze.com,True,90000.00,15.88
qzg.com,True,5000000.00,15.88
qzi.com,True,100000.00,15.88
qzj.com,True,222711.00,15.88
qzk.com,True,35100.00,15.88
qzo.com,True,55000.00,15.88
qzr.com,True,165279.00,15.88
qyu.com,True,300000.00,15.88
qyn.com,True,79999.00,15.88
qyz.com,True,200440.00,15.88
qys.com,True,110000.00,15.88
qya.com,True,80000.00,15.88
qyi.com,True,300000.00,15.88
qyj.com,True,300000.00,15.88
qyr.com,True,110000.00,15.88
qsn.com,True,150000.00,15.88
qse.com,True,99000.00,15.88
qav.com,True,39999.00,15.88
qcx.com,True,1200000.00,15.88
qcb.com,True,200440.00,15.88
qck.com,True,5000000.00,15.88
qco.com,True,947035.00,15.88
qeb.com,True,99888.00,15.88
qey.com,True,150000.00,15.88
qei.com,True,195000.00,15.88
qfu.com,True,90000.00,15.88
qfv.com,True,246350.00,15.88
qfe.com,True,95000.00,15.88
qfg.com,True,5000000.00,15.88
qgq.com,True,5000000.00,15.88
qgx.com,True,2500000.00,15.88
qge.com,True,90000.00,15.88
qgf.com,True,29500.00,15.88
qgk.com,True,126923.00,15.88
qgt.com,True,42500.00,15.88
qiq.com,True,824000.00,15.88
qiz.com,True,50000.00,15.88
qis.com,True,500000.00,15.88
qia.com,True,1250000.00,15.88
qii.com,True,499000.00,15.88
qjv.com,True,151900.00,15.88
qjn.com,True,126923.00,15.88
qjg.com,True,110000.00,15.88
qjj.com,True,170000.00,15.88
qjk.com,True,110000.00,15.88
qkq.com,True,135651.00,15.88
qku.com,True,70000.00,15.88
qkv.com,True,70000.00,15.88
qkz.com,True,135384.00,15.88
qko.com,True,90000.00,15.88
qkt.com,True,168000.00,15.88
qkw.com,True,240000.00,15.88
qlq.com,True,150000.00,15.88
qlv.com,True,65000.00,15.88
qlb.com,True,73926.00,15.88
qlj.com,True,250000.00,15.88
qlm.com,True,1200000.00,15.88
qmq.com,True,150000.00,15.88
qmv.com,True,110000.00,15.88
qms.com,True,550000.00,15.88
qml.com,True,72887.00,15.88
qmw.com,True,500000.00,15.88
qoh.com,True,90000.00,15.88
qoy.com,True,75000.00,15.88
qpu.com,True,90000.00,15.88
qpv.com,True,99000.00,15.88
qpa.com,True,246350.00,15.88
qpe.com,True,1650000.00,15.88
qpj.com,True,215834.00,15.88
qpm.com,True,168000.00,15.88
qra.com,True,165000.00,15.88
qrc.com,True,600000.00,15.88
qre.com,True,105000.00,15.88
qrf.com,True,200000.00,15.88
qro.com,True,25000.00,15.88
qtq.com,True,168000.00,15.88
qtz.com,True,5000000.00,15.88
qwe.com,True,1200000.00,15.88
qwf.com,True,200440.00,15.88
qwj.com,True,5000000.00,15.88
qwt.com,True,200000.00,15.88
qww.com,True,150000.00,15.88
uqv.com,True,135000.00,15.88
uqy.com,True,25000.00,15.88
uqg.com,True,60000.00,15.88
uqi.com,True,300000.00,15.88
uqo.com,True,65000.00,15.88
uqp.com,True,70000.00,15.88
uuv.com,True,599888.00,15.88
uuk.com,True,300000.00,15.88
uuo.com,True,62000.00,15.88
uuw.com,True,187700.00,15.88
uvq.com,True,75000.00,15.88
uvj.com,True,55000.00,15.88
uvm.com,True,350000.00,15.88
uvo.com,True,750000.00,15.88
udh.com,True,300000.00,15.88
udz.com,True,100000.00,15.88
uds.com,True,100000.00,15.88
unb.com,True,250000.00,15.88
unj.com,True,120000.00,15.88
unw.com,True,250000.00,15.88
uxq.com,True,155000.00,15.88
uxe.com,True,300000.00,15.88
uxf.com,True,90000.00,15.88
uxm.com,True,101538.00,15.88
uxt.com,True,1000000.00,15.88
ubz.com,True,90000.00,15.88
ubl.com,True,1000000.00,15.88
uhx.com,True,95000.00,15.88
uhz.com,True,49000.00,15.88
uhs.com,True,51034.00,15.88
uhj.com,True,75000.00,15.88
uhk.com,True,79999.00,15.88
uho.com,True,95000.00,15.88
uhw.com,True,195000.00,15.88
uzv.com,True,94419.00,15.88
uyd.com,True,58000.00,15.88
uyg.com,True,880000.00,15.88
uyi.com,True,300000.00,15.88
usk.com,True,293000.00,15.88
uau.com,True,750000.00,15.88
uah.com,True,150000.00,15.88
uaz.com,True,79560.00,15.88
uao.com,True,300000.00,15.88
uen.com,True,300000.00,15.88
uez.com,True,100000.00,15.88
uey.com,True,200000.00,15.88
ueg.com,True,428000.00,15.88
uek.com,True,60000.00,15.88
uew.com,True,120000.00,15.88
ufq.com,True,75000.00,15.88
ufz.com,True,70000.00,15.88
ufk.com,True,300000.00,15.88
ugx.com,True,300000.00,15.88
ugb.com,True,225000.00,15.88
ugz.com,True,300000.00,15.88
ugw.com,True,85000.00,15.88
uiz.com,True,300000.00,15.88
uij.com,True,90000.00,15.88
uit.com,True,350000.00,15.88
ujd.com,True,300000.00,15.88
ujn.com,True,100000.00,15.88
ujh.com,True,80000.00,15.88
ujy.com,True,55000.00,15.88
ujs.com,True,350000.00,15.88
ujj.com,True,350000.00,15.88
ujl.com,True,70000.00,15.88
ujw.com,True,169230.00,15.88
ulz.com,True,300000.00,15.88
ulo.com,True,650000.00,15.88
umk.com,True,147998.00,15.88
uml.com,True,236160.00,15.88
uox.com,True,300000.00,15.88
uoz.com,True,90000.00,15.88
uoy.com,True,205000.00,15.88
upq.com,True,39000.00,15.88
upz.com,True,498888.00,15.88
urd.com,True,330000.00,15.88
urx.com,True,295000.00,15.88
uth.com,True,995000.00,15.88
utj.com,True,225000.00,15.88
uwy.com,True,75000.00,15.88
vqx.com,True,56000.00,15.88
vqh.com,True,5000000.00,15.88
vqz.com,True,99000.00,15.88
vqy.com,True,65000.00,15.88
vqf.com,True,185000.00,15.88
vqj.com,True,50000.00,15.88
vqk.com,True,145000.00,15.88
vuq.com,True,75000.00,15.88
vuy.com,True,99999.00,15.88
vui.com,True,475000.00,15.88
vum.com,True,250000.00,15.88
vvx.com,True,300000.00,15.88
vvc.com,True,750000.00,15.88
vdz.com,True,39000.00,15.88
vds.com,True,150000.00,15.88
vdg.com,True,450000.00,15.88
vdw.com,True,85000.00,15.88
vnq.com,True,94419.00,15.88
vne.com,True,330000.00,15.88
vxu.com,True,39000.00,15.88
vxc.com,True,85000.00,15.88
vxj.com,True,55000.00,15.88
vxk.com,True,185000.00,15.88
vxr.com,True,79800.00,15.88
vbd.com,True,98500.00,15.88
vbf.com,True,290000.00,15.88
vbo.com,True,330000.00,15.88
vhm.com,True,300000.00,15.88
vho.com,True,88000.00,15.88
vzy.com,True,195000.00,15.88
vzc.com,True,39000.00,15.88
vzf.com,True,260000.00,15.88
vzj.com,True,99000.00,15.88
vzk.com,True,215000.00,15.88
vzl.com,True,25500.00,15.88
vzp.com,True,90000.00,15.88
vyx.com,True,300000.00,15.88
vyh.com,True,39000.00,15.88
vyz.com,True,1131445.00,15.88
vyj.com,True,5000000.00,15.88
vym.com,True,300000.00,15.88
vyo.com,True,3500000.00,15.88
vsv.com,True,331170.00,15.88
vsf.com,True,365285.00,15.88
vsg.com,True,250000.00,15.88
vsr.com,True,350000.00,15.88
vaq.com,True,95000.00,15.88
vav.com,True,600000.00,15.88
vcd.com,True,99000.00,15.88
vcz.com,True,130000.00,15.88
vcr.com,True,1000000.00,15.88
veu.com,True,950000.00,15.88
vej.com,True,350000.00,15.88
vfq.com,True,60000.00,15.88
vfn.com,True,150000.00,15.88
vgu.com,True,80000.00,15.88
vgd.com,True,330000.00,15.88
vgx.com,True,300000.00,15.88
vgz.com,True,82000.00,15.88
viq.com,True,582785.00,15.88
vie.com,True,780000.00,15.88
vit.com,True,5000000.00,15.88
vjq.com,True,99000.00,15.88
vjd.com,True,110000.00,15.88
vjn.com,True,39000.00,15.88
vjh.com,True,70000.00,15.88
vjz.com,True,96733.00,15.88
vji.com,True,300000.00,15.88
vjj.com,True,80000.00,15.88
vjk.com,True,798888.00,15.88
vjl.com,True,30000.00,15.88
vkq.com,True,1000000.00,15.88
vkx.com,True,200000.00,15.88
vky.com,True,200000.00,15.88
vkj.com,True,517500.00,15.88
vkl.com,True,398888.00,15.88
vkw.com,True,75000.00,15.88
vlk.com,True,880000.00,15.88
vlw.com,True,300000.00,15.88
vmu.com,True,90000.00,15.88
vmz.com,True,1000000.00,15.88
vms.com,True,1400000.00,15.88
vmi.com,True,600000.00,15.88
vmr.com,True,250000.00,15.88
voh.com,True,1000000.00,15.88
vof.com,True,279000.00,15.88
vpw.com,True,735000.00,15.88
vrq.com,True,70000.00,15.88
vru.com,True,686560.00,15.88
vrf.com,True,175000.00,15.88
vrt.com,True,600000.00,15.88
vtc.com,True,5000000.00,15.88
vtj.com,True,56000.00,15.88
vwy.com,True,145000.00,15.88
vwk.com,True,125000.00,15.88
vwl.com,True,368000.00,15.88
vww.com,True,499888.00,15.88
dqq.com,True,52173.00,15.88
dqu.com,True,323944.00,15.88
dqj.com,True,5000000.00,15.88
dql.com,True,59988.00,15.88
dqt.com,True,165279.00,15.88
duz.com,True,293333.00,15.88
duf.com,True,399888.00,15.88
duj.com,True,35100.00,15.88
dup.com,True,95000.00,15.88
dur.com,True,950000.00,15.88
dvy.com,True,300000.00,15.88
dvj.com,True,150000.00,15.88
ddx.com,True,2250000.00,15.88
dda.com,True,85000.00,15.88
dnh.com,True,5000000.00,15.88
dxu.com,True,220088.00,15.88
dxb.com,True,2000000.00,15.88
dxj.com,True,300000.00,15.88
dxr.com,True,5000000.00,15.88
dbf.com,True,308099.00,15.88
dbj.com,True,259480.00,15.88
dbw.com,True,500000.00,15.88
dhh.com,True,94464.00,15.88
dhr.com,True,150000.00,15.88
dzh.com,True,880000.00,15.88
dze.com,True,300000.00,15.88
dzw.com,True,300000.00,15.88
dyq.com,True,168000.00,15.88
dyu.com,True,300000.00,15.88
dyo.com,True,195000.00,15.88
dyr.com,True,269333.00,15.88
dss.com,True,699000.00,15.88
dsa.com,True,875000.00,15.88
daz.com,True,695570.00,15.88
dae.com,True,4000000.00,15.88
dam.com,True,3500000.00,15.88
dcf.com,True,550000.00,15.88
dcl.com,True,1000000.00,15.88
deh.com,True,330000.00,15.88
dej.com,True,300000.00,15.88
dfz.com,True,580000.00,15.88
dgv.com,True,300000.00,15.88
diz.com,True,550000.00,15.88
dii.com,True,125000.00,15.88
dik.com,True,988760.00,15.88
djz.com,True,100000.00,15.88
djw.com,True,123187.00,15.88
dkz.com,True,38800.00,15.88
dky.com,True,250000.00,15.88
dke.com,True,299000.00,15.88
dmu.com,True,499999.00,15.88
dpb.com,True,2250000.00,15.88
dpl.com,True,650000.00,15.88
dri.com,True,1000000.00,15.88
dte.com,True,675000.00,15.88
dto.com,True,450000.00,15.88
dwm.com,True,174296.00,15.88
nqe.com,True,19999.00,15.88
nuq.com,True,95000.00,15.88
nuy.com,True,500000.00,15.88
nus.com,True,495000.00,15.88
nua.com,True,588000.00,15.88
nuc.com,True,1050000.00,15.88
nue.com,True,10000000.00,15.88
nui.com,True,695570.00,15.88
nvv.com,True,350000.00,15.88
nvz.com,True,100000.00,15.88
nvj.com,True,45000.00,15.88
nvw.com,True,85000.00,15.88
ndq.com,True,35100.00,15.88
ndd.com,True,253846.00,15.88
ndx.com,True,288888.00,15.88
ndz.com,True,1000000.00,15.88
nda.com,True,151840.00,15.88
ndm.com,True,5000000.00,15.88
nno.com,True,330000.00,15.88
nxn.com,True,125000.00,15.88
nxj.com,True,29500.00,15.88
nxo.com,True,250000.00,15.88
nbz.com,True,95000.00,15.88
nbo.com,True,3700000.00,15.88
nhx.com,True,250000.00,15.88
nhb.com,True,1574404.00,15.88
nhe.com,True,365000.00,15.88
nhp.com,True,1000000.00,15.88
nzd.com,True,472321.00,15.88
nzr.com,True,110000.00,15.88
nyz.com,True,66665.00,15.88
nsq.com,True,78000.00,15.88
nse.com,True,149999.00,15.88
nax.com,True,825000.00,15.88
nay.com,True,343750.00,15.88
nas.com,True,1727734.00,15.88
ncn.com,True,400000.00,15.88
ncw.com,True,390000.00,15.88
nfu.com,True,390000.00,15.88
nfr.com,True,1000000.00,15.88
ngq.com,True,29500.00,15.88
ngz.com,True,139085.00,15.88
ngy.com,True,60000.00,15.88
nga.com,True,850000.00,15.88
ngo.com,True,1180803.00,15.88
nib.com,True,825000.00,15.88
nik.com,True,2000000.00,15.88
njq.com,True,35100.00,15.88
nju.com,True,300000.00,15.88
njv.com,True,90000.00,15.88
nja.com,True,400000.00,15.88
njc.com,True,5000000.00,15.88
nji.com,True,88999.00,15.88
njt.com,True,5000000.00,15.88
nkq.com,True,110000.00,15.88
nki.com,True,125000.00,15.88
nlq.com,True,5000000.00,15.88
nlh.com,True,120000.00,15.88
nma.com,True,499000.00,15.88
nmo.com,True,365000.00,15.88
nmr.com,True,1000000.00,15.88
nor.com,True,550000.00,15.88
npb.com,True,494000.00,15.88
nps.com,True,2250000.00,15.88
ntq.com,True,5000000.00,15.88
nta.com,True,500000.00,15.88
nwy.com,True,1574404.00,15.88
nwo.com,True,100000.00,15.88
nwt.com,True,300000.00,15.88
xqn.com,True,31400.00,15.88
xqb.com,True,278888.00,15.88
xqh.com,True,110000.00,15.88
xqj.com,True,110000.00,15.88
xqo.com,True,55000.00,15.88
xqr.com,True,80000.00,15.88
xud.com,True,90000.00,15.88
xub.com,True,300000.00,15.88
xua.com,True,49000.00,15.88
xui.com,True,300000.00,15.88
xuk.com,True,300000.00,15.88
xum.com,True,350000.00,15.88
xuo.com,True,93335.00,15.88
xvh.com,True,70000.00,15.88
xvz.com,True,94419.00,15.88
xvy.com,True,55000.00,15.88
xva.com,True,150000.00,15.88
xvg.com,True,400000.00,15.88
xvj.com,True,60000.00,15.88
xvk.com,True,90000.00,15.88
xvo.com,True,300000.00,15.88
xdb.com,True,168000.00,15.88
xdf.com,True,800000.00,15.88
xdo.com,True,300000.00,15.88
xnd.com,True,410714.00,15.88
xnn.com,True,2000000.00,15.88
xnh.com,True,193662.00,15.88
xnz.com,True,400000.00,15.88
xnl.com,True,300000.00,15.88
xno.com,True,300000.00,15.88
xnp.com,True,39777.00,15.88
xnr.com,True,150800.00,15.88
xxq.com,True,300000.00,15.88
xxu.com,True,500000.00,15.88
xxb.com,True,288888.00,15.88
xxh.com,True,400000.00,15.88
xxy.com,True,125000.00,15.88
xxf.com,True,350000.00,15.88
xxj.com,True,350000.00,15.88
xxk.com,True,350000.00,15.88
xxr.com,True,500000.00,15.88
xxt.com,True,500000.00,15.88
xbu.com,True,175000.00,15.88
xbv.com,True,250000.00,15.88
xbd.com,True,98500.00,15.88
xbc.com,True,232700.00,15.88
xhn.com,True,168000.00,15.88
xhm.com,True,168000.00,15.88
xzv.com,True,94419.00,15.88
xzs.com,True,145834.00,15.88
xzr.com,True,29500.00,15.88
xys.com,True,100000.00,15.88
xsl.com,True,350000.00,15.88
xsm.com,True,330000.00,15.88
xst.com,True,580000.00,15.88
xau.com,True,3000000.00,15.88
xah.com,True,500000.00,15.88
xae.com,True,90000.00,15.88
xaw.com,True,300000.00,15.88
xcz.com,True,300000.00,15.88
xci.com,True,85000.00,15.88
xco.com,True,1098670.00,15.88
xcp.com,True,500000.00,15.88
xed.com,True,1133335.00,15.88
xeb.com,True,300000.00,15.88
xeh.com,True,199999.00,15.88
xey.com,True,130000.00,15.88
xea.com,True,500000.00,15.88
xec.com,True,100000.00,15.88
xeg.com,True,90000.00,15.88
xem.com,True,142750.00,15.88
xer.com,True,450000.00,15.88
xet.com,True,400000.00,15.88
xfq.com,True,295000.00,15.88
xfd.com,True,113380.00,15.88
xfh.com,True,5000000.00,15.88
xfy.com,True,990000.00,15.88
xfc.com,True,380000.00,15.88
xfm.com,True,168000.00,15.88
xfr.com,True,99999.00,15.88
xfw.com,True,236160.00,15.88
xgv.com,True,94419.00,15.88
xgn.com,True,300000.00,15.88
xge.com,True,1000000.00,15.88
xgf.com,True,299999.00,15.88
xgm.com,True,126880.00,15.88
xiq.com,True,2000000.00,15.88
xiz.com,True,300000.00,15.88
xik.com,True,300000.00,15.88
xiw.com,True,300000.00,15.88
xjq.com,True,1574404.00,15.88
xju.com,True,60000.00,15.88
xjn.com,True,199999.00,15.88
xjb.com,True,168000.00,15.88
xje.com,True,250000.00,15.88
xjf.com,True,5000000.00,15.88
xjm.com,True,5000000.00,15.88
xkv.com,True,250000.00,15.88
xkx.com,True,200000.00,15.88
xkb.com,True,100000.00,15.88
xkz.com,True,250000.00,15.88
xkf.com,True,113380.00,15.88
xkk.com,True,200000.00,15.88
xkp.com,True,250000.00,15.88
xlq.com,True,126880.00,15.88
xld.com,True,1000000.00,15.88
xlb.com,True,300000.00,15.88
xlh.com,True,168000.00,15.88
xle.com,True,128888.00,15.88
xlt.com,True,580000.00,15.88
xmq.com,True,180000.00,15.88
xmy.com,True,100000.00,15.88
xms.com,True,200000.00,15.88
xmj.com,True,60868.00,15.88
xmt.com,True,500000.00,15.88
xov.com,True,300000.00,15.88
xoa.com,True,90000.00,15.88
xof.com,True,59288.00,15.88
xoj.com,True,49000.00,15.88
xpq.com,True,29500.00,15.88
xpx.com,True,300000.00,15.88
xph.com,True,5000000.00,15.88
xpy.com,True,300000.00,15.88
xps.com,True,5000000.00,15.88
xpe.com,True,199999.00,15.88
xpm.com,True,375000.00,15.88
xrv.com,True,1000000.00,15.88
xrn.com,True,150000.00,15.88
xrc.com,True,161235.00,15.88
xrf.com,True,5000000.00,15.88
xrl.com,True,300000.00,15.88
xrw.com,True,38500.00,15.88
xtn.com,True,480000.00,15.88
xtz.com,True,1000000.00,15.88
xty.com,True,168000.00,15.88
xtg.com,True,299000.00,15.88
xtj.com,True,168000.00,15.88
xwu.com,True,60000.00,15.88
xwx.com,True,480000.00,15.88
xwy.com,True,168000.00,15.88
xwl.com,True,257111.00,15.88
xww.com,True,150000.00,15.88
bqz.com,True,72918.00,15.88
bqf.com,True,115000.00,15.88
bql.com,True,253846.00,15.88
bvx.com,True,498888.00,15.88
bvf.com,True,150000.00,15.88
bvo.com,True,199999.00,15.88
bdm.com,True,2174550.00,15.88
bxd.com,True,473959.00,15.88
bxz.com,True,5000000.00,15.88
bxy.com,True,257400.00,15.88
bba.com,True,800000.00,15.88
bhi.com,True,425145.00,15.88
bzu.com,True,1000000.00,15.88
bzx.com,True,307746.00,15.88
bzb.com,True,999999.00,15.88
bzi.com,True,300000.00,15.88
bzk.com,True,5000000.00,15.88
bzm.com,True,200000.00,15.88
byn.com,True,294000.00,15.88
byx.com,True,2250000.00,15.88
byb.com,True,457000.00,15.88
byh.com,True,168000.00,15.88
bsl.com,True,449000.00,15.88
bcy.com,True,232700.00,15.88
